730787809099956225,Neutral
730787803240484864,Negative
730787795183226880,Negative
730787787683794946,Positive
730787784236077056,Positive
730787782856179712,Negative
730787781333651456,Positive
730787780951953408,Positive
730787774777991172,Neutral
730787772424916992,Positive
730787762203295746,Negative
730787741865246724,Positive
730787730096017408,Neutral
730787723758407680,Positive
730787717878063104,Negative
730787703378284545,Neutral
730787699603472384,Neutral
730787691567165440,Positive
730787678829056001,Positive
730787670645870592,Positive
730787668972306432,Positive
730787666720133120,Positive
730787663628926976,Positive
730787654539857924,Neutral
730787651851325440,Neutral
730787648432963586,Positive
730787642074386432,Negative
730787637334790145,Neutral
730787635375964161,Positive
730787614475816960,Neutral
730787611502055424,Negative
730787602924744705,Negative
730787598566854656,Neutral
730787583438008320,Positive
730787572381798400,Positive
730787553612288001,Positive
730787538990858240,Neutral
730787517738430464,Positive
730787515716784128,Positive
730787499648372736,Neutral
730787499484839936,Neutral
730787494892060672,Positive
730787448666660868,Negative
730787445839679488,Positive
730787444073877504,Neutral
730787432669532160,Positive
730787424780058624,Positive
730787424608104449,Negative
730787423739871236,Negative
730787421122641920,Positive
730787416898994177,Neutral
730787405020733440,Neutral
730787390139314176,Neutral
730787387236880388,Neutral
730787387022827520,Negative
730787380932816897,Negative
730787379208949760,Neutral
730787378655285248,Negative
730787376251981827,Negative
730787363199307776,Positive
730787361622265860,Negative
730787343716732928,Neutral
730787336590626816,Neutral
730787322489409536,Negative
730787318416744448,Positive
730787316680298496,Positive
730787316587974657,Neutral
730787312917983232,Neutral
730787310900482048,Positive
730787309352816640,Positive
730787306198736896,Positive
730787304349024256,Positive
730787302029578240,Negative
730787301689856001,Positive
730787300091760640,Positive
730787297138987008,Positive
730787294148460544,Neutral
730787278478577665,Neutral
730787277593403393,Neutral
730787271029489667,Positive
730787270052220928,Negative
730787269389484032,Neutral
730787254852038656,Neutral
730787249365913600,Neutral
730787230529150978,Positive
730787228394393600,Neutral
730787220945313792,Positive
730787212707532801,Positive
730787210556018688,Neutral
730787203144679424,Neutral
730787188548505601,Positive
730787185411149825,Positive
730787171699965952,Positive
730787166448680961,Positive
730787162027917312,Positive
730787161826529281,Neutral
730787157942652928,Neutral
730787156239732736,Neutral
730787156101304320,Neutral
730787156063596544,Neutral
730787156030050304,Neutral
730787156030042113,Neutral
730787156025868288,Neutral
730787155950379008,Neutral
730787154125717505,Negative
730787142226575360,Negative
730787134148317184,Positive
730787133225570304,Positive
730787125927542784,Positive
730787125810040832,Positive
730787122945396736,Negative
730787122395947008,Positive
730787115357851648,Negative
730787113847955456,Positive
730787103932612608,Positive
730787102628155392,Negative
730787098815565828,Positive
730787098660372481,Neutral
730787087818063874,Neutral
730787087629332481,Positive
730787086605926402,Neutral
730787074996097025,Neutral
730787074052390912,Positive
730787069228941313,Neutral
730787068759162880,Positive
730787067765112832,Neutral
730787066175455232,Neutral
730787052351000576,Positive
730787050006450176,Positive
730787047867359236,Neutral
730787046596464641,Neutral
730787037905858561,Neutral
